alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.015000,952443,952443,30,7,0,0,0,"45;309;316;682;721;732;866","45:2|0|2|0|2;309:-2|-2|-2|-2|-2;316:0|-2|0|-2|0;682:2|0|2|0|2;721:-2|-2|-2|-2|-2;732:2|0|2|0|2;866:0|-2|0|-2|0","2|0|0|2|0","45/166/368/682/732/877|3/50/102/128/184/321/398/400/556/567/578/579/624/693/814/1016|34/84/229/651/704/776/899/962/1048/1204/1227/1265|45/166/368/682/732/877|3/50/102/128/184/321/398/400/556/567/578/579/624/693/814/1016","",""
0.015000,953073,953073,30,3,0,1,1,"289;893;1096","289:0|0|0|0|0;893:0|-2|0|-2|0;1096:2|0|2|0|2","2|0|0|2|0","626/1096|30/143/144/273/540/559/597/937/1274|100/448/678/722/792/921/1245|626/1096|143/273/276/283/540/559/583/937/1274","25;626;748;1096;77;110","1096"
0.015000,953680,953680,30,3,0,1,5,"89;761;1060","89:0|2|0|2|2;761:0|2|0|2|0;1060:-2|0|-4|2|2","0|2|2|0|2","89/94/424/459/761|737/1072/1107|113|89/94/424/459/761|737/1072/1107","73;1039;94;424;761;782;89;459;1060;773","761;89;1060"
0.015000,954265,954265,30,6,0,1,8,"61;196;468;508;793;1134","61:-4|-4|-2|-4|-4;196:-4|-4|-2|-4|-4;468:0|-2|-2|0|-2;508:-2|-2|-2|-2|-2;793:4|-4|0|4|-4;1134:-2|-2|-2|-2|-2","4|0|0|0|2","793|116/162/168/169/328/339/373/404/517/557/994/1054|539/764/810/817/976/987/1052/1205|346/406/793/1187|1054","346;406;793;1187;55;61","793;61"
0.015000,954314,954314,30,3,0,1,3,"338;650;994","338:2|0|2|0|2;650:0|-2|0|-2|0;994:0|0|0|0|0","2|0|0|2|0","338/1173|78/80/208/368/390/422/509/986/1156|346/525/726/728/856/1038/1197|338/1173|208/368/404/422/509/524/646/986/1156","35;902;2;83;298;320;381;427;508;664;338;994;1173;15","338;994"
0.015000,955418,955418,30,4,0,0,0,"69;773;1034;1142","69:-2|0|-2|0|-2;773:0|2|0|2|0;1034:0|2|0|2|0;1142:-2|0|-2|0|-2","0|2|2|0|2","70/420/773/1034|718/1068|125/386|70/420/773/1034|718/1068","",""
0.015000,955540,955540,30,6,0,0,0,"22;66;276;459;505;1169","22:2|0|2|0|2;66:0|-2|0|-2|0;276:0|-2|0|-2|2;459:-2|-2|0|0|4;505:2|0|2|0|2;1169:0|0|0|0|2","2|0|0|2|0","22/505/623/1030|17/27/75/190/228/270/334/401/505/521/528/556/670/1153/1271|382/389/521/665/788/838/850/1153/1169/1176/1204|22/505/623/1030|17/27/75/190/204/209/228/270/334/341/364/401/521/556/670/1107/1153/1271","",""
0.015000,955642,955642,30,3,0,1,2,"380;1063;1078","380:-2|0|-2|0|-2;1063:0|0|0|0|0;1078:0|2|0|2|0","0|0|2|0|0","748/767/1063/1078|196/276/347/367/583/1028|119/430|748/767/1063/1078|144/181/196/347/500/1028","1280;49;748;845;935;961;767;1063;1078;58","1063;1078"
0.015000,956203,956203,30,4,0,0,0,"30;231;951;1272","30:-2|-2|-2|-2|-2;231:0|2|0|2|0;951:-2|0|-2|0|-2;1272:-2|0|-2|0|-2","0|2|0|0|2","231/542|879/1190|303/624/654/730/864/895/1082/1099/1106/1212|231/542|879/1190","",""
0.015000,956209,956209,30,5,0,1,1,"19;30;718;917;1261","19:0|-2|0|-2|0;30:-2|-2|-2|-2|-2;718:2|0|2|0|2;917:0|-2|0|-2|0;1261:-2|-2|-2|-2|-2","2|0|0|2|0","128/718|35/108/114/225/300/307/459/477/553/776|70/683/873/948/955/1125|128/718|35/108/114/225/300/307/459/477/553/776","1121;128;146;196;508;671",""
