result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004600,0.007000,0.003000,0.000100,312991,312891,312305,686,586,100,85.422741,2356,2356,2341
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004500,0.007000,0.003000,0.000100,236141,236041,235631,510,410,100,80.392157,2035,2035,2030
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004400,0.007000,0.003000,0.000100,297213,297113,296624,589,489,100,83.022071,2215,2215,2209
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004300,0.007000,0.003000,0.000100,288582,288482,288034,548,448,100,81.751825,2143,2143,2128
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004200,0.007000,0.003000,0.000100,392148,392048,391477,671,571,100,85.096870,2270,2270,2259
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004100,0.007000,0.003000,0.000100,361939,361839,361307,632,532,100,84.177215,2148,2148,2144
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.004000,0.007000,0.003000,0.000100,392445,392345,391858,587,487,100,82.964225,2123,2123,2119
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003900,0.007000,0.003000,0.000100,499983,499883,499332,651,551,100,84.639017,2223,2223,2216
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003800,0.007000,0.003000,0.000100,468016,467916,467384,632,532,100,84.177215,2048,2048,2039
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003700,0.007000,0.003000,0.000100,549632,549532,548989,643,543,100,84.447900,2080,2080,2074
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003600,0.007000,0.003000,0.000100,469660,469560,469157,503,403,100,80.119284,2130,2130,2121
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003500,0.007000,0.003000,0.000100,533505,533405,532935,570,470,100,82.456140,2105,2105,2098
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003400,0.007000,0.003000,0.000100,641097,640997,640499,598,498,100,83.277592,2107,2107,2102
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003300,0.007000,0.003000,0.000100,762121,762021,761520,601,501,100,83.361065,2157,2157,2153
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003200,0.007000,0.003000,0.000100,817308,817208,816670,638,538,100,84.326019,2099,2099,2097
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003100,0.007000,0.003000,0.000100,884892,884792,884283,609,509,100,83.579639,2108,2108,2095
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.003000,0.007000,0.003000,0.000100,790087,789987,789558,529,429,100,81.096408,1986,1986,1981
results/wifin_r_1_2/ml/simulation.res,10000000,100,100,0.010000,0.010000,0.007000,0.000100,17312,17212,16922,390,290,100,74.358974,1777,1777,1773
